,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Olginskaya,0,RU,1563598734,48,45.94,38.55,76.37,4.94
1,Punta Arenas,0,CL,1563598734,80,-53.16,-70.91,33.8,13.87
2,Gat,20,SN,1563598735,78,14.69,-16.54,73.4,3.36
3,Luderitz,0,NA,1563598735,77,-26.65,15.16,55.67,24.25
4,Yar-Sale,78,RU,1563598735,47,66.83,70.83,77.99,6.91
5,Souillac,33,FR,1563598736,93,45.6,-0.6,66.99,6.4
6,Vaini,75,IN,1563598736,83,15.34,74.49,80.6,6.93
7,Bemidji,1,US,1563598736,82,47.48,-94.89,68.0,4.7
8,Misratah,0,LY,1563598520,62,32.38,15.09,77.81,5.1
9,Karratha,2,AU,1563598736,26,-20.74,116.85,83.57,12.33
10,Geraldton,75,CA,1563598737,64,49.72,-86.95,69.8,10.29
11,Port Elizabeth,1,US,1563598737,74,39.31,-74.98,84.2,6.93
12,Aswan,0,EG,1563598737,24,24.09,32.9,89.6,11.41
13,Vostok,23,RU,1563598738,46,46.45,135.83,83.75,4.83
14,Sabha,0,LY,1563598738,29,27.03,14.43,79.79,11.65
15,Ponta do Sol,9,BR,1563598738,85,-20.63,-46.0,50.63,5.99
16,Mahebourg,40,MU,1563598739,78,-20.41,57.7,73.99,12.75
17,Arman,100,RU,1563598739,97,59.7,150.17,52.61,4.45
18,Puerto Madryn,0,AR,1563598579,51,-42.77,-65.04,40.55,11.99
19,Requena,20,ES,1563598740,73,39.49,-1.1,73.0,8.05
20,Pisco,90,PE,1563598740,87,-13.71,-76.2,59.0,9.17
21,Katsuura,75,JP,1563598740,94,33.93,134.5,82.99,20.8
22,Aykhal,0,RU,1563598741,36,65.95,111.51,64.4,8.95
23,Busselton,74,AU,1563598741,92,-33.64,115.35,60.01,22.84
24,Lavrentiya,100,RU,1563598741,75,65.58,-170.99,57.65,12.01
25,Thompson,40,CA,1563598741,81,55.74,-97.86,51.8,3.36
26,Mataura,100,NZ,1563598742,98,-46.19,168.86,48.99,5.01
27,San Cristobal,43,HN,1563598742,95,14.68,-86.92,65.03,3.42
28,Ribeira Grande,40,PT,1563598742,94,38.52,-28.7,71.6,11.41
29,Tessalit,15,ML,1563598743,38,20.2,1.01,86.45,10.49
30,Fairbanks,75,US,1563598743,52,64.84,-147.72,68.0,9.17
31,Rikitea,71,PF,1563598743,58,-23.12,-134.97,67.01,11.97
32,Inongo,0,CD,1563598744,74,-1.93,18.29,75.47,4.9
33,Avarua,38,CK,1563598427,78,-21.21,-159.78,73.4,5.82
34,New Norfolk,75,AU,1563598744,47,-42.78,147.06,60.01,5.82
35,Ossora,92,RU,1563598744,80,59.24,163.07,65.39,4.72
36,Talnakh,0,RU,1563598745,36,69.49,88.39,75.2,15.66
37,Vestmanna,85,FO,1563598745,100,62.16,-7.17,51.8,9.17
38,Hermanus,49,ZA,1563598745,79,-34.42,19.24,46.99,3.0
39,Hobart,75,AU,1563598491,47,-42.88,147.33,60.01,5.82
40,Albany,1,US,1563598525,100,42.65,-73.75,81.0,9.17
41,Lukovetskiy,90,RU,1563598746,82,64.29,41.92,55.4,6.71
42,Barrow,100,AR,1563598746,50,-38.31,-60.23,49.55,7.7
43,Aksu,75,KZ,1563598746,60,52.04,76.93,75.2,13.42
44,Bethel,90,US,1563598747,93,60.79,-161.76,57.2,5.82
45,Lorengau,48,PG,1563598747,82,-2.02,147.27,81.95,10.71
46,Bluff,0,AU,1563598747,45,-23.58,149.07,69.53,14.76
47,Khatanga,71,RU,1563598748,32,71.98,102.47,79.61,12.33
48,Touros,75,BR,1563598748,100,-5.2,-35.46,73.4,5.82
49,Ostrovnoy,0,RU,1563598748,73,68.05,39.51,47.93,9.1
50,Saldanha,0,PT,1563598749,81,41.42,-6.55,62.33,3.0
51,Snyder,1,US,1563598749,42,32.72,-100.92,88.0,12.75
52,Leningradskiy,100,RU,1563598750,91,69.38,178.42,34.79,11.36
53,Dikson,93,RU,1563598750,81,73.51,80.55,41.99,17.87
54,Puerto Ayora,35,EC,1563598501,93,-0.74,-90.35,69.01,1.99
55,Zhigansk,61,RU,1563598751,36,66.77,123.37,65.21,12.5
56,Kapaa,75,US,1563598751,70,22.08,-159.32,84.2,9.17
57,Severo-Kurilsk,100,RU,1563598752,94,50.68,156.12,46.67,4.27
58,Huilong,97,CN,1563598752,71,31.15,106.5,87.35,3.53
59,Cabo San Lucas,75,MX,1563598472,54,22.89,-109.91,87.8,9.17
60,Airai,0,TL,1563598752,52,-8.93,125.41,83.03,4.52
61,Arraial do Cabo,79,BR,1563598530,74,-22.97,-42.02,66.11,19.75
62,Mutsu,75,JP,1563598753,78,41.29,141.2,77.0,12.75
63,Alghero,0,IT,1563598753,93,40.56,8.32,72.0,2.24
64,Chapais,40,CA,1563598753,93,49.78,-74.86,64.4,6.93
65,Cape Town,40,ZA,1563598630,93,-33.93,18.42,50.0,3.36
66,Bahnea,0,RO,1563598754,93,46.37,24.48,57.2,5.82
67,Ushuaia,75,AR,1563598754,64,-54.81,-68.31,37.4,8.05
68,Bomet,49,KE,1563598754,82,-0.78,35.34,60.53,3.15
69,Sur,0,OM,1563598755,54,22.57,59.53,87.53,8.66
70,Saskylakh,99,RU,1563598755,32,71.97,114.09,72.41,12.91
71,Port Alfred,88,ZA,1563598755,96,-33.59,26.89,46.99,5.99
72,Sexsmith,90,CA,1563598756,87,55.35,-118.78,59.0,10.29
73,Maraa,38,BR,1563598756,98,-1.83,-65.37,71.51,2.62
74,Mount Isa,0,AU,1563598756,14,-20.73,139.49,78.8,6.93
75,Kijang,90,KR,1563598757,94,35.24,129.21,77.0,17.22
76,Iwaki,75,JP,1563598757,83,37.05,140.89,82.0,4.7
77,Woodstock,75,CA,1563598660,88,43.13,-80.75,78.01,6.93
78,Alyangula,0,AU,1563598757,42,-13.85,136.42,84.2,8.05
79,Beni Suef,0,EG,1563598758,44,29.07,31.1,84.29,11.48
80,Hilo,90,US,1563598758,61,19.71,-155.08,82.4,6.93
81,Broome,100,GB,1563598758,93,52.47,1.45,63.0,9.17
82,Villa de Reyes,20,MX,1563598759,59,21.8,-100.93,66.2,11.41
83,Yellowknife,20,CA,1563598759,55,62.45,-114.38,60.8,3.36
84,Tarragona,0,ES,1563598759,94,41.12,1.25,75.0,1.12
85,Rauma,0,FI,1563598760,67,61.13,21.5,59.0,3.36
86,Hoshiarpur,0,IN,1563598604,38,31.53,75.9,97.61,6.26
87,Sitka,33,US,1563598760,54,37.17,-99.65,86.0,11.99
88,Celestun,3,MX,1563598760,77,20.87,-90.4,82.31,17.49
89,Torbay,40,CA,1563598761,82,47.66,-52.73,55.99,12.75
90,Dehloran,0,IR,1563598469,6,32.69,47.27,103.19,3.51
91,Butaritari,45,KI,1563598761,67,3.07,172.79,85.73,8.95
92,Provideniya,97,RU,1563598761,86,64.42,-173.23,51.53,8.46
93,Cidreira,64,BR,1563598762,82,-30.17,-50.22,60.53,5.53
94,Cherskiy,100,RU,1563598762,57,68.75,161.3,44.15,7.58
95,Ilulissat,97,GL,1563598762,76,69.22,-51.1,48.2,2.24
96,Prince Rupert,90,CA,1563598763,87,54.32,-130.32,59.0,2.24
97,Bredasdorp,50,ZA,1563598642,93,-34.53,20.04,41.0,6.93
98,Port Hedland,12,AU,1563598763,17,-20.31,118.58,86.0,6.93
99,Atuona,71,PF,1563598763,69,-9.8,-139.03,80.51,8.68
100,Kultayevo,40,RU,1563598764,82,57.89,55.94,68.0,6.71
101,Varkaus,0,FI,1563598764,82,62.32,27.87,60.8,5.82
102,Surin,20,TH,1563598577,67,14.88,103.49,95.0,3.36
103,Georgetown,20,GY,1563598765,94,6.8,-58.16,77.0,2.24
104,Saint-Philippe,1,CA,1563598765,83,45.36,-73.48,81.0,3.36
105,Faanui,5,PF,1563598765,78,-16.48,-151.75,76.55,17.9
106,Esperance,90,AU,1563598765,76,-33.86,121.89,55.4,21.92
107,Castro,0,CL,1563598766,100,-42.48,-73.76,37.4,5.82
108,Zambezi,0,ZM,1563598766,47,-13.55,23.12,53.69,3.33
109,Monteagudo,69,BO,1563598766,94,-19.8,-63.96,54.77,2.01
110,Baghdad,0,IQ,1563598721,45,33.3,44.38,87.8,17.22
111,Qaanaaq,100,GL,1563598767,90,77.48,-69.36,39.83,8.57
112,Baherden,0,TM,1563598767,28,38.44,57.43,91.31,4.72
113,Naze,99,NG,1563598767,97,5.43,7.07,72.05,2.42
114,Poum,0,MK,1563598768,87,41.28,20.71,55.4,4.7
115,Alice Springs,18,AU,1563598768,12,-23.7,133.88,75.2,9.17
116,Maragogi,83,BR,1563598768,94,-9.01,-35.22,70.25,6.8
117,Dubti,93,ET,1563598769,25,11.74,41.09,96.17,6.89
118,Tooele,1,US,1563598604,35,40.53,-112.3,82.4,3.36
119,Lagoa,0,PT,1563598769,41,37.14,-8.45,75.2,13.87
120,Tocopilla,82,CL,1563598769,83,-22.09,-70.2,57.65,9.01
121,Tanout,100,NE,1563598770,45,14.97,8.88,84.65,6.17
122,Sao Filipe,100,CV,1563598770,81,14.9,-24.5,73.85,17.92
123,Sabinopolis,85,BR,1563598770,96,-18.67,-43.08,53.33,7.78
124,Atar,0,MR,1563598771,19,20.52,-13.05,85.73,4.52
125,Lata,17,IN,1563598771,83,30.78,78.62,51.17,7.74
126,Presidente Medici,71,BR,1563598771,53,-11.18,-61.9,72.23,0.43
127,Nabire,64,ID,1563598772,80,-3.36,135.5,80.51,3.69
128,Paraiso,40,BR,1563598772,100,-0.03,-51.17,77.0,1.12
129,Grand Gaube,40,MU,1563598772,78,-20.01,57.66,73.99,12.75
130,Bambous Virieux,40,MU,1563598773,78,-20.34,57.76,73.99,12.75
131,Tual,16,ID,1563598773,84,-5.67,132.75,77.99,20.04
132,Jamestown,0,AU,1563598773,38,-33.21,138.6,62.51,19.13
133,Ayr,2,AU,1563598774,51,-19.58,147.4,73.0,6.82
134,Sao Miguel do Araguaia,1,BR,1563598774,45,-13.28,-50.16,69.71,6.73
135,Norman Wells,40,CA,1563598774,64,65.28,-126.83,73.4,3.36
136,Hithadhoo,100,MV,1563598622,78,-0.6,73.08,82.67,16.87
137,Saint George,0,GR,1563598651,68,39.45,22.34,75.99,3.36
138,Ahipara,11,NZ,1563598775,100,-35.17,173.16,59.0,15.05
139,Isangel,90,VU,1563598775,57,-19.55,169.27,75.2,9.17
140,Fairview,90,CA,1563598775,77,56.07,-118.38,64.4,8.05
141,Praia da Vitoria,20,PT,1563598776,83,38.73,-27.07,71.6,12.1
142,Tieli,77,CN,1563598776,63,46.98,128.05,88.43,7.67
143,Mar del Plata,30,AR,1563598776,62,-46.43,-67.52,35.33,18.9
144,Jamame,33,SO,1563598776,63,0.07,42.75,81.95,13.98
145,Pangody,66,RU,1563598777,40,65.85,74.49,86.99,13.06
146,Kloulklubed,75,PW,1563598777,74,7.04,134.26,86.0,10.29
147,Vidim,0,CZ,1563598777,88,50.47,14.53,66.0,3.36
148,Saint-Augustin,20,CA,1563598778,94,45.63,-73.98,81.0,4.7
149,Kasongo-Lunda,1,CD,1563598778,89,-6.48,16.82,62.15,1.05
150,Laguna,75,BZ,1563598778,100,16.17,-88.94,77.0,4.7
151,Cochrane,85,CL,1563598524,94,-47.25,-72.57,22.19,6.51
152,Alofi,22,NU,1563598779,88,-19.06,-169.92,77.0,6.93
153,Ayan,0,IR,1563598779,41,38.23,44.7,78.8,9.17
154,Praia,0,BR,1563598779,72,-20.25,-43.81,59.0,3.22
155,Tomatlan,98,MX,1563598780,83,19.93,-105.25,79.25,7.25
156,Husavik,0,CA,1563598780,88,50.56,-96.99,59.0,1.99
157,Wanaka,100,NZ,1563598780,97,-44.7,169.14,35.15,3.02
158,Lebu,75,ET,1563598780,87,8.96,38.73,55.4,4.7
159,Kodiak,1,US,1563598546,42,39.95,-94.76,87.8,9.17
160,Fengcheng,33,CN,1563598781,58,40.45,124.07,87.35,5.23
161,Sao Joao da Barra,1,BR,1563598781,90,-21.64,-41.05,56.93,0.25
162,Tuatapere,100,NZ,1563598782,98,-46.13,167.69,48.99,5.01
163,Fare,6,PF,1563598782,78,-16.7,-151.02,75.65,17.02
164,Ornskoldsvik,0,SE,1563598783,82,63.29,18.72,57.2,4.83
165,Khandbari,68,NP,1563598783,87,27.38,87.21,66.83,3.04
166,Eureka,1,US,1563598783,87,40.8,-124.16,59.0,6.93
167,Comodoro Rivadavia,0,AR,1563598784,48,-45.87,-67.48,42.8,23.04
168,Ormara,2,PK,1563598784,51,25.21,64.64,90.77,4.83
169,Tasiilaq,95,GL,1563598785,93,65.61,-37.64,42.8,8.05
170,Vitim,33,RU,1563598785,27,59.44,112.57,68.09,19.01
171,Gimli,1,CA,1563598722,88,50.63,-96.99,59.0,1.99
172,Kavieng,50,PG,1563598785,76,-2.57,150.8,83.39,13.18
173,Mandalgovi,0,MN,1563598786,19,45.76,106.27,83.39,9.17
174,Bahia Honda,99,CU,1563598786,73,22.9,-83.16,83.57,8.28
175,Caravelas,0,BR,1563598786,75,-17.73,-39.27,69.71,8.68
176,Alcudia,0,ES,1563598786,68,39.85,3.12,75.99,5.82
177,Tuktoyaktuk,90,CA,1563598787,81,69.44,-133.03,50.0,9.17
178,Panaba,23,MX,1563598787,85,21.28,-88.27,77.09,5.32
179,San Joaquin,80,PH,1563598787,64,10.59,122.14,86.45,6.31
180,Port Blair,40,IN,1563598598,83,11.67,92.75,84.2,4.7
181,Ulladulla,0,AU,1563598788,37,-35.36,150.48,66.2,9.17
182,Guerrero Negro,0,MX,1563598788,84,27.97,-114.04,66.11,18.01
183,East London,20,ZA,1563598551,57,-33.02,27.91,51.8,21.92
184,Praxedis Guerrero,40,MX,1563598788,21,31.37,-106.02,93.2,9.17
185,Camacha,40,PT,1563598789,83,33.08,-16.33,69.8,13.87
186,Bud,29,NO,1563598789,93,62.91,6.91,57.2,6.93
187,Bucarasica,40,CO,1563598789,54,8.04,-72.87,82.4,13.87
188,Kalabo,6,ZM,1563598790,37,-15.0,22.67,52.79,4.18
189,Kuybysheve,0,UA,1563598790,49,47.36,36.65,73.31,3.89
190,Vardo,1,US,1563598790,83,39.62,-77.74,82.4,3.56
191,Santa Maria,0,BR,1563598790,67,-16.02,-48.01,57.2,5.59
192,Chunoyar,100,RU,1563598791,95,57.45,97.32,50.99,7.67
193,Atikokan,17,CA,1563598791,96,48.76,-91.62,58.73,5.73
194,Shimoda,75,JP,1563598791,74,34.7,138.93,84.2,6.93
195,Makakilo City,40,US,1563598792,69,21.35,-158.09,86.0,11.41
196,Namatanai,86,PG,1563598792,82,-3.66,152.44,80.33,16.73
197,Kavaratti,100,IN,1563598792,78,10.57,72.64,82.49,25.26
198,Lazaro Cardenas,40,MX,1563598793,32,28.39,-105.62,84.2,8.05
199,Kruisfontein,91,ZA,1563598793,78,-34.0,24.73,46.67,17.13
200,Senanga,0,ZM,1563598793,35,-16.1,23.3,52.97,4.18
201,Pangnirtung,100,CA,1563598794,86,66.15,-65.72,50.27,1.68
202,Zeya,100,RU,1563598794,98,53.74,127.27,59.09,5.99
203,Bakchar,12,RU,1563598794,45,57.02,82.07,77.09,10.89
204,Kieta,100,PG,1563598795,82,-6.22,155.63,78.71,1.66
205,Upernavik,100,GL,1563598795,96,72.79,-56.15,44.33,15.95
206,Nouadhibou,0,MR,1563598795,77,20.93,-17.03,68.0,18.34
207,Kaitangata,100,NZ,1563598796,89,-46.28,169.85,48.99,8.99
208,Nokha,0,IN,1563598796,32,27.56,73.47,100.13,8.19
209,Longyearbyen,75,NO,1563598796,81,78.22,15.63,44.6,4.7
210,Zarasai,0,LT,1563598797,67,55.73,26.25,62.87,4.81
211,Carutapera,3,BR,1563598797,96,-1.2,-46.02,72.41,4.72
212,Cockburn Town,0,TC,1563598571,79,21.46,-71.14,82.31,18.3
213,Long Beach,20,US,1563598798,66,30.35,-89.15,86.0,6.93
214,Faya,46,SA,1563598798,24,18.39,42.45,75.2,4.7
215,Charters Towers,0,AU,1563598798,32,-20.07,146.27,70.07,10.45
216,Avera,1,US,1563598799,100,33.19,-82.53,80.6,3.36
217,Kandla,0,IN,1563598799,49,23.02,70.21,92.21,8.3
218,Ust-Kuyga,67,RU,1563598799,34,70.0,135.55,58.01,3.78
219,Ocos,20,GT,1563598799,100,14.51,-92.19,77.0,9.06
220,Sobolevo,0,RU,1563598800,81,54.43,31.9,60.89,9.69
221,Kerewan,40,GM,1563598800,88,13.49,-16.09,73.4,2.24
222,Dakar,20,SN,1563598800,78,14.69,-17.45,73.4,3.36
223,Suntar,0,RU,1563598801,36,62.16,117.65,68.45,7.2
224,Houma,94,CN,1563598801,52,35.63,111.36,86.63,5.1
225,Marand,20,IR,1563598802,41,38.43,45.77,78.8,9.17
226,Mocuba,0,MZ,1563598802,65,-16.84,36.99,69.89,5.46
227,Ustka,48,PL,1563598563,78,54.58,16.86,65.03,4.43
228,Salalah,90,OM,1563598803,94,17.01,54.1,78.8,4.7
229,Ganta,100,LR,1563598803,99,7.31,-8.54,69.71,3.27
230,Veseloyarsk,93,RU,1563598804,60,51.29,81.11,71.69,5.35
231,El Alto,75,BO,1563598804,93,-16.5,-68.19,35.6,8.05
232,Tete,0,MZ,1563598804,87,-16.16,33.59,51.8,3.09
233,Jiutai,20,CN,1563598810,46,44.15,125.84,91.4,11.18
234,Carnarvon,9,ZA,1563598813,73,-30.97,22.13,32.45,13.6
235,Kiruna,59,SE,1563598813,76,67.86,20.23,57.2,8.05
236,Kokrajhar,32,IN,1563598813,74,26.4,90.27,89.15,9.15
237,Port Huron,40,US,1563598818,88,42.98,-82.44,79.0,8.55
238,Guiglo,99,CI,1563598820,99,6.55,-7.5,70.43,3.94
239,San Pedro,4,AR,1563598821,95,-33.68,-59.66,52.0,3.94
240,Aguada de Pasajeros,24,CU,1563598822,95,22.38,-80.85,75.47,4.56
241,Viedma,90,AR,1563598823,54,-40.81,-62.99,44.69,8.19
242,Port Hardy,20,CA,1563598823,87,50.7,-127.42,57.2,4.7
243,Daru,87,PG,1563598823,71,-9.07,143.21,76.55,11.16
244,Vestmannaeyjar,55,IS,1563598824,86,63.44,-20.27,52.25,9.06
245,Pryazha,53,RU,1563598824,93,61.69,33.62,57.2,4.47
246,Pingliang,0,CN,1563598824,29,35.54,106.68,81.05,6.44
247,Assiniboia,16,CA,1563598825,80,49.63,-105.99,51.35,2.44
248,Baiquan,100,CN,1563598825,68,47.61,126.08,83.39,12.15
249,North Bend,1,US,1563598660,77,43.41,-124.22,62.01,8.05
250,Collie,27,AU,1563598825,91,-33.36,116.15,60.01,10.98
251,Marawi,53,PH,1563598826,80,8.0,124.29,84.99,5.01
252,Lokachi,97,UA,1563598826,81,50.74,24.65,60.01,1.3
253,Maningrida,8,AU,1563598826,58,-12.05,134.23,79.61,12.46
254,Boende,4,CD,1563598827,81,-0.28,20.88,74.75,4.92
255,Nantucket,90,US,1563598568,100,41.28,-70.1,75.99,10.29
256,Taltal,0,CL,1563598827,77,-25.41,-70.49,50.63,2.13
257,Keti Bandar,39,PK,1563598827,78,24.14,67.45,82.85,6.69
258,Pevek,100,RU,1563598828,95,69.7,170.27,31.91,7.67
259,Nikolskoye,90,RU,1563598828,88,59.7,30.79,63.0,6.71
260,Bambanglipuro,66,ID,1563598829,91,-7.95,110.28,75.65,22.55
261,Corralillo,59,CU,1563598829,89,22.98,-80.59,78.35,7.23
262,Riyadh,0,SA,1563598705,9,24.63,46.72,89.6,10.29
263,Hobyo,33,SO,1563598829,44,5.35,48.53,84.65,23.73
264,Haines Junction,50,CA,1563598830,84,60.75,-137.51,50.99,5.93
265,Sola,4,TZ,1563598830,42,-3.17,33.8,73.31,6.67
266,La Gomera,59,GT,1563598830,82,14.09,-91.05,79.79,7.94
267,Gheorgheni,3,RO,1563598831,64,46.72,25.6,73.0,5.01
268,Hamilton,75,CA,1563598727,100,43.26,-79.87,80.01,6.93
269,Urengoy,0,RU,1563598831,39,65.96,78.37,84.29,14.14
270,Narsaq,38,GL,1563598831,87,60.91,-46.05,48.2,8.05
271,Sao Miguel do Tapuio,37,BR,1563598832,80,-5.5,-41.32,68.27,5.1
